Fund profile: Fund net assets,Fossil Free Funds: Fossil fuel grade (Number Count),"Fossil Free Funds: Fossil fuel holdings, weight","Fossil Free Funds: Coal industry, weight","Fossil Free Funds: Oil / gas industry, weight","Fossil Free Funds: Fossil-fired utilities, weight",Fossil Free Funds: Fossil fuel finance fund score,"Fossil Free Funds: Fossil fuel finance holdings, weight",Fossil Free Funds: Fossil fuel insurance fund score,"Fossil Free Funds: Fossil fuel insurance holdings, weight","Fossil Free Funds: Clean200, weight","Deforestation Free Funds: Deforestation-risk producer, weight","Deforestation Free Funds: Deforestation-risk financier, weight","Deforestation Free Funds: Deforestation-risk consumer brand, weight",esg_score,grade
120294552,6,0.106,0.021,0.085,0.01,7.9,0.041,0,0,0.144,0,0.008,0.016,25.45,3
246499454,4,0.08,0.026,0.058,0.031,7.3,0.045,9.3,0.01,0.117,0.004,0.025,0.003,26.46,3
3417910819,6,0.109,0.037,0.085,0.017,9.4,0.064,13.8,0.015,0.092,0.01,0.013,0.022,25.92,3
150647793,6,0.097,0,0.097,0.097,0,0,0,0,0.071,0,0,0,19.04,2
85819972,2,0.013,0,0.013,0,20.6,0.03,0,0,0.176,0,0.03,0.123,19.53,2
9117665943,6,0.454,0.094,0.235,0.408,0,0,0,0,0.126,0,0,0,22.08,3
36922130,4,0.065,0.008,0.065,0.009,27.8,0.115,11.2,0.013,0.131,0.016,0.082,0.051,22.24,3
1001115863,3,0.053,0,0.042,0.029,17.5,0.058,9.2,0.01,0.116,0,0.031,0.113,21.67,3
51568975,3,0.044,0,0.044,0.018,11.5,0.031,10.1,0.011,0.131,0,0.042,0.113,22.52,3
360912223,3,0.034,0,0.034,0,0,0,0,0,0.089,0,0,0.085,19.78,2
8966897,3,0.052,0,0.029,0.023,0,0,0,0,0,0.011,0,0.044,24.1,3
2258608884,3,0.047,0,0.047,0.03,23.1,0.063,0,0,0.044,0,0.022,0.094,21.42,3
28016771,3,0.05,0.006,0.033,0.026,10.8,0.02,16.2,0.018,0.132,0.003,0.02,0.059,22.66,3
47494475,1,0,0,0,0,0,0,0,0,0.047,0,0,0.097,20.51,3
81186282,3,0.051,0,0.051,0,43.5,0.075,0,0,0.284,0,0.033,0.103,21.55,3
33021517,4,0.057,0,0.057,0,0,0,0,0,0,0,0,0,24.98,3
9009374,2,0,0,0,0,0,0,14.8,0.016,0.246,0,0,0.073,19.47,2
90670358,6,0.104,0,0.092,0.025,1.6,0.004,9.4,0.009,0.139,0,0.053,0.095,21.52,3
410077993,2,0.02,0,0,0.02,29.3,0.055,9.1,0.011,0.082,0,0.048,0,20.93,3
27694171,1,0,0,0,0,0,0,0,0,0.01,0,0,0.01,29.45,3
70811895,6,0.362,0.03,0.35,0,0,0,0,0,0.018,0,0,0,27.9,3
1267969717,6,0.107,0,0.107,0,0,0,0,0,0,0,0,0,27.01,3
249624729,6,0.097,0,0.097,0,0,0,0,0,0,0.03,0,0.076,26.82,3
641440253,1,0,0,0,0,0,0,0,0,0,0,0,0.03,24.97,3
690069211,4,0.059,0,0.059,0,0,0,0,0,0,0,0,0,23.16,3
2917874590,3,0.005,0,0.005,0,5.7,0.013,0,0,0.063,0,0.015,0.076,21.86,3
106710148,1,0,0,0,0,0,0,0,0,0.134,0,0,0.097,22.82,3
14069504685,1,0,0,0,0,0,0,0,0,0.194,0,0,0.095,21.45,3
28612354,1,0,0,0,0,0,0,0,0,0.098,0,0,0.11,23.2,3
2045758956,3,0.048,0,0.048,0,0,0,0,0,0,0,0,0,29.34,3
389911601,6,0.118,0.008,0.078,0.04,0,0,0,0,0.007,0,0,0,27.92,3
219669703,3,0.052,0,0.052,0,0,0,0,0,0,0,0,0.014,25.83,3
2066363782,1,0,0,0,0,0,0,0,0,0,0,0,0,28.79,3
4253757262,4,0.085,0,0.069,0.037,32.1,0.053,14.3,0.015,0.215,0,0.086,0.128,20.88,3
82661775,1,0,0,0,0,0,0,0,0,0.153,0,0,0.064,24.55,3
34897322,6,0.109,0,0.109,0,0,0,0,0,0.15,0,0.05,0.058,23.56,3
94031929,6,0.103,0.023,0.103,0.023,0,0,0,0,0,0,0,0,28.63,3
1946738073,6,0.126,0.012,0.103,0.046,27.6,0.046,0,0,0.104,0,0.061,0.039,23.97,3
134392002,3,0.052,0,0.044,0.008,0,0,18.6,0.022,0.171,0,0.017,0.087,22.99,3
6647941087,2,0.011,0,0.011,0,0,0,0,0,0.153,0,0,0.074,23.6,3
497856086,2,0.022,0,0.022,0,0,0,0,0,0.005,0,0,0,22.54,3
7942531,1,0,0,0,0,0,0,0,0,0.013,0,0,0,29.13,3
334878431,4,0.076,0.011,0.065,0.004,30.7,0.094,38.9,0.063,0.21,0,0.08,0.128,21.91,3
285609682,4,0.059,0,0.048,0.011,0,0,0,0,0,0,0,0,24.69,3
399802552,6,0.16,0.021,0.14,0.044,44.6,0.126,37.9,0.055,0.095,0.011,0.093,0.095,23.65,3
177119605,1,0,0,0,0,0,0,0,0,0,0,0,0,29.87,3
1142661755,6,0.12,0.018,0.073,0.069,0,0,0,0,0.018,0,0,0,24.14,3
371163348,6,0.096,0.015,0.096,0.015,0,0,0,0,0,0,0,0.012,28.02,3
1244705795,4,0.088,0.016,0.072,0.032,0,0,0,0,0,0,0,0,25.7,3
2115160,4,0.068,0,0.068,0,0,0,0,0,0.042,0.04,0,0.037,22.73,3
1410480272,4,0.086,0.007,0.061,0.039,20,0.025,16.7,0.018,0.222,0,0.018,0.127,21.58,3
90276421,6,0.094,0.036,0.057,0.043,7.3,0.048,15.7,0.017,0.122,0.011,0.018,0.01,25.91,3
378686345,3,0.006,0,0.006,0.006,0,0,0,0,0.353,0,0,0.108,20.48,3
898608363,6,0.102,0.022,0.085,0.025,33.9,0.115,13.1,0.015,0.113,0.009,0.079,0.059,23.32,3
1204144467,6,0.112,0.014,0.097,0.056,0,0,29.4,0.033,0,0,0,0.044,23.24,3
294993951,3,0.053,0.006,0.041,0.012,0,0,0,0,0,0,0,0.007,27.02,3
289508208,6,0.157,0.014,0.115,0.072,35.8,0.047,50.5,0.053,0.068,0,0.041,0.119,23.21,3
6173672925,4,0.07,0,0.059,0.024,8.9,0.019,11.3,0.013,0.178,0,0.026,0.11,22.37,3
8051670477,4,0.09,0.038,0.071,0.023,5.6,0.039,20.8,0.022,0.102,0.014,0.017,0.014,25.2,3
603859912,6,0.143,0.015,0.122,0.05,53.5,0.076,7.8,0.011,0.181,0.002,0.062,0.135,22.85,3
2151669696,2,0,0,0,0,14.2,0.031,0,0,0.117,0,0,0.052,20.91,3
911989017,2,0.03,0,0.009,0.021,0,0,0,0,0.182,0,0,0.079,20.99,3
69127657,3,0.039,0,0.039,0,0,0,0,0,0,0.015,0,0.05,21.73,3
2230792107,1,0,0,0,0,0,0,0,0,0.052,0,0,0,16.27,2
6299782465,4,0.056,0.008,0.043,0.023,7.8,0.02,7.6,0.009,0.059,0.002,0.02,0.043,22.69,3
41796425855,3,0.052,0.006,0.046,0.008,1.3,0.003,0,0,0.247,0,0,0.093,20.59,3
38845517926,4,0.07,0.015,0.056,0.016,21.4,0.066,6.9,0.008,0.097,0.008,0.052,0.05,21.92,3
25217434074,3,0.043,0,0.043,0.016,25.2,0.087,17.2,0.025,0.133,0,0.044,0.134,20.37,3
17584739620,2,0.016,0,0.016,0.003,1.1,0.013,0,0,0.187,0,0.013,0.091,20.26,3
21607838226,4,0.072,0.01,0.063,0,11,0.081,4.6,0.005,0.096,0.01,0.03,0.049,20.76,3
6462283544,6,0.114,0.012,0.087,0.036,69.9,0.175,0,0,0.101,0.012,0.134,0.06,20.92,3
5927525267,3,0.037,0.003,0.025,0.018,0,0,4.6,0.005,0.01,0.002,0,0.022,23.68,3
767860820,4,0.057,0.008,0.045,0.023,8.2,0.021,10.3,0.011,0.068,0.002,0.018,0.046,22.69,3
513552172,4,0.063,0.009,0.05,0.025,9.1,0.024,11.3,0.012,0.075,0.002,0.02,0.05,22.49,3
557357036,4,0.069,0.01,0.054,0.027,10,0.027,12.2,0.013,0.081,0.002,0.022,0.054,22.48,3
377830835,4,0.069,0.01,0.054,0.027,9.9,0.027,12.2,0.013,0.082,0.002,0.022,0.054,22.48,3
216068491,4,0.069,0.01,0.054,0.027,9.8,0.026,12.2,0.013,0.082,0.002,0.021,0.054,22.48,3
356217543,4,0.081,0.004,0.047,0.063,3.2,0.004,43.1,0.046,0.128,0,0.011,0.154,22.49,3
264092875,6,0.091,0.018,0.061,0.068,5.7,0.037,37.6,0.042,0.108,0.004,0.051,0.16,21.48,3
11550602459,3,0.033,0,0.01,0.024,0,0,0,0,0.262,0,0,0.072,20.08,3
6431201874,4,0.072,0.009,0.063,0.037,15.3,0.026,14.2,0.015,0.176,0,0.038,0.141,20.97,3
13822133254,4,0.057,0.012,0.045,0.012,0,0,0,0,0.007,0,0,0.018,21.88,3
16757522425,6,0.132,0.029,0.07,0.08,0,0,27,0.031,0.005,0.007,0,0.051,24.57,3
1918243214,3,0.044,0,0.044,0,0,0,0,0,0,0,0,0.028,25.22,3
3031731633,6,0.128,0.021,0.061,0.068,0,0,6,0.01,0,0.009,0,0.009,27.75,3
7442875946,4,0.068,0.006,0.054,0.027,6.1,0.019,13.8,0.015,0.178,0,0.033,0.127,22.34,3
16051902238,4,0.073,0.018,0.059,0.014,29.3,0.069,7.6,0.009,0.077,0.007,0.082,0.057,21.37,3
1808978219,1,0,0,0,0,0,0,0,0,0.281,0,0,0.008,19.91,2
7736721078,4,0.074,0.002,0.059,0.031,24.3,0.046,13.8,0.015,0.045,0.003,0.031,0.039,23.33,3
2442256331,6,0.793,0.171,0.476,0.779,0,0,0,0,0.016,0,0,0,29.17,3
56930093689,6,0.174,0.005,0.152,0.093,30.7,0.058,33.7,0.037,0.056,0,0.075,0.107,23.87,3
93745004,6,0.09,0.016,0.09,0.041,22,0.048,26.9,0.031,0.146,0.009,0.035,0.165,24.57,3
1710574769,3,0.038,0.019,0.019,0.011,5.5,0.026,0,0,0.115,0,0.019,0.051,23.82,3
1481072106,3,0.027,0,0.027,0.008,3.4,0.008,0,0,0.126,0,0.016,0.055,22.29,3
98466974,6,0.483,0.212,0.399,0.322,0,0,0,0,0.098,0.02,0,0.036,33.44,4
3576677215,3,0.047,0,0.047,0.013,6.1,0.014,0,0,0.225,0,0.03,0.098,21.46,3
5275316979,6,0.135,0.012,0.125,0.01,0.1,0.003,0,0,0.176,0.038,0,0.001,26.83,3
440886709,3,0.033,0.007,0.027,0.01,10.1,0.03,5,0.006,0.106,0.006,0.019,0.045,24.02,3
856254129,4,0.064,0.031,0.032,0.019,9.3,0.043,0,0,0.192,0,0.032,0.086,22.01,3
1407397063,4,0.083,0,0.08,0.003,44.5,0.09,13.4,0.016,0.132,0,0.017,0.079,23.25,3
702522249,1,0,0,0,0,0,0,0,0,0.168,0,0,0.033,27.34,3
7694837556,1,0,0,0,0,0,0,0,0,0.332,0,0,0.092,19.3,2
4976908620,1,0,0,0,0,0,0,0,0,0,0,0,0,23.41,3
932500415,2,0.026,0,0.026,0,0,0,0,0,0.029,0,0,0,24.07,3
166606210,6,0.372,0.031,0.341,0,0,0,0,0,0.076,0.054,0,0.094,29.65,3
511191436,6,0.158,0,0.11,0.092,0,0,17.9,0.021,0.028,0.006,0,0.032,23.74,3
95750646,1,0,0,0,0,0,0,0,0,0.116,0,0,0,15.6,2
5058544622,1,0,0,0,0,0,0,0,0,0.26,0,0,0.051,21.75,3
6947758603,4,0.075,0.017,0.051,0.025,0,0,0,0,0,0,0,0.012,29.56,3
1044149594,3,0.011,0,0.011,0,0,0,0,0,0.016,0,0,0,26.9,3
4006859704,6,0.112,0.01,0.066,0.047,0,0,13.2,0.023,0,0,0,0.005,27.9,3
323506366,4,0.075,0.009,0.055,0.02,0,0,10.6,0.018,0.014,0,0,0.024,26.11,3
661345652,4,0.087,0.04,0.05,0.038,23.5,0.09,0,0,0.15,0.007,0.058,0.012,27.25,3
2419867058,6,0.123,0.03,0.093,0.032,29.9,0.059,26.7,0.031,0.119,0,0.029,0.182,23.31,3
828095365,3,0.039,0.004,0.035,0.005,4.9,0.011,4.4,0.005,0.115,0,0.004,0.048,23.85,3
51440222,4,0.066,0.009,0.052,0.018,6,0.016,12.1,0.013,0.093,0.004,0.01,0.08,24.59,3
415522067,4,0.075,0,0.027,0.048,0,0,47.8,0.048,0.116,0,0,0.135,22.45,3
88484208,3,0.05,0.006,0.039,0.014,4.4,0.011,9.3,0.01,0.07,0.003,0.007,0.061,24.35,3
167867109,3,0.022,0,0.022,0,0,0,18.7,0.032,0,0,0,0.024,27.91,3
970416152,6,0.986,0,0.986,0,0,0,0,0,0,0,0,0,34.49,4
724344087,2,0.026,0,0.026,0.026,10.7,0.021,0,0,0.086,0.01,0.027,0.06,24.09,3
5115784311,3,0.048,0.025,0.024,0.048,11.1,0.019,0,0,0.19,0.013,0.059,0.102,23.42,3
263434789,4,0.055,0.055,0,0.055,0,0,0,0,0,0,0,0,28.44,3
170337024,6,0.188,0.016,0.178,0,63.8,0.104,31.9,0.035,0.041,0.007,0.08,0.145,23.54,3
63142852,2,0.02,0.02,0,0,0,0,0,0,0.129,0,0.016,0.076,23.06,3
327172637,1,0,0,0,0,0,0,0,0,0.187,0,0,0.039,23.53,3
520058829,2,0.005,0.005,0,0,0,0,0,0,0.123,0,0,0.05,24.03,3
441190533,3,0.016,0.011,0.004,0,1.5,0.003,0.8,0.001,0.145,0,0.009,0.077,23,3
374809510,3,0.031,0,0.031,0,0,0,0,0,0.006,0,0,0,24.29,3
17563426,3,0.021,0,0.021,0,0,0,0,0,0.275,0,0,0.071,21.43,3
9743819,3,0.055,0,0.055,0,7.1,0.028,0,0,0.159,0,0.041,0.069,21.9,3
69879616,4,0.056,0,0.056,0,8.1,0.049,0,0,0.184,0,0.049,0.042,21.26,3
1106790902,1,0,0,0,0,0,0,0,0,0,0,0,0.07,18.43,2
933638076,4,0.068,0,0.051,0.017,15.1,0.035,17.3,0.017,0.209,0,0,0.191,20.49,3
353647218,4,0.058,0,0.058,0,12.3,0.029,0,0,0.155,0,0.024,0.079,20.19,3
406246159,3,0.016,0,0.01,0.006,2.2,0.005,5.9,0.006,0.171,0,0,0.188,21.12,3
2153468419,4,0.088,0.006,0.057,0.045,14.1,0.024,25.4,0.026,0.245,0.002,0.026,0.117,22.05,3
94248083,3,0.041,0.003,0.034,0.021,1.9,0.005,9.9,0.011,0.13,0,0.004,0.072,20.78,3
1949362431,2,0.006,0,0.003,0.004,2.1,0.005,5.9,0.006,0.272,0,0.002,0.103,21.47,3
176512954,3,0.001,0,0.001,0.001,0,0,0,0,0.366,0,0,0.117,20.76,3
335130995,4,0.086,0.006,0.073,0.031,62.7,0.106,29,0.033,0.102,0.002,0.105,0.118,24.48,3
489400290,3,0.05,0.012,0.048,0.02,11,0.018,39.3,0.043,0.144,0.006,0,0.139,22.62,3
151195633,2,0,0,0,0,0,0,3.8,0.008,0.235,0,0,0.042,20.15,3
57006712,3,0.041,0.003,0.038,0,3.9,0.017,11.5,0.022,0.158,0.002,0.007,0.17,21.19,3
4106387405,4,0.059,0,0.059,0,0,0,2.5,0.004,0.026,0,0,0.041,23.87,3
437333174,6,0.108,0.021,0.087,0.031,15.1,0.05,13.4,0.022,0.134,0.006,0.04,0.062,23.55,3
771668765,6,0.092,0.007,0.065,0.041,9,0.014,21.5,0.022,0.197,0.007,0.025,0.1,22.51,3
99885982,6,0.258,0.066,0.201,0.014,0,0,0,0,0.065,0.017,0,0.018,25.37,3
150538550,4,0.057,0.008,0.043,0.019,5,0.011,8.6,0.01,0.081,0.004,0.013,0.04,23.81,3
317738225,4,0.068,0.01,0.052,0.022,5.9,0.014,9.9,0.012,0.095,0.005,0.016,0.048,23.66,3
231976000,4,0.082,0.012,0.062,0.027,7,0.017,11.5,0.014,0.112,0.006,0.019,0.056,23.57,3
319531275,6,0.094,0.014,0.071,0.03,7.9,0.019,13.2,0.016,0.128,0.007,0.022,0.064,23.5,3
189535391,6,0.103,0.015,0.078,0.033,8.7,0.021,14.5,0.017,0.14,0.007,0.024,0.071,23.46,3
221512505,6,0.105,0.016,0.08,0.034,8.9,0.021,14.8,0.018,0.143,0.007,0.024,0.072,23.47,3
103766998,6,0.106,0.016,0.08,0.034,9,0.022,14.9,0.018,0.145,0.007,0.024,0.073,23.47,3
92068960,6,0.106,0.016,0.08,0.034,9,0.022,14.9,0.018,0.145,0.007,0.024,0.073,23.46,3
183018401,4,0.087,0.015,0.07,0.028,0,0,0.9,0.002,0.009,0.007,0,0.023,26.21,3
543099821,3,0.043,0.004,0.037,0.011,0,0,0,0,0.002,0,0,0.002,27.97,3
405926848,4,0.062,0,0.038,0.024,0,0,0,0,0.012,0,0,0.008,28.91,3
50604945,6,0.103,0.055,0.103,0.103,34.3,0.116,0,0,0.142,0,0.079,0.175,22.72,3
317209099,6,0.093,0,0.048,0.045,21.3,0.05,45.1,0.045,0.123,0,0.05,0.097,22.56,3
611545224,4,0.068,0,0.05,0.052,0,0,20.5,0.024,0.079,0.034,0.033,0.034,22.61,3
238434956,3,0.042,0,0.042,0.023,23,0.053,14.5,0.015,0.115,0.023,0.057,0.04,27.46,3
252249987,2,0.009,0,0.009,0,0,0,18.9,0.02,0.149,0,0.01,0,25.37,3
88391791,3,0.051,0,0.021,0.029,12.1,0.064,44.8,0.047,0,0.017,0,0.029,28.9,3
349599561,3,0.046,0,0.037,0.01,18.3,0.104,36.6,0.038,0.025,0.009,0,0,26.07,3
22452926,3,0.024,0.007,0.018,0.007,5.3,0.038,25.2,0.027,0.157,0,0.007,0,25.07,3
212369504,1,0,0,0,0,0,0,0,0,0.122,0,0.018,0,26.37,3
900915897,4,0.061,0.027,0.034,0.027,0.5,0.007,0,0,0.027,0,0,0,26.04,3
638558918,4,0.078,0.016,0.078,0.058,48,0.077,29.6,0.035,0.007,0.071,0.077,0.095,22.84,3
828895132,3,0.042,0.014,0.028,0.014,9.2,0.078,19.8,0.021,0.145,0,0.047,0,24.97,3
401216867,4,0.087,0.007,0.03,0.061,0.6,0.001,52,0.052,0.129,0,0,0.075,23.49,3
925117822,6,0.09,0.007,0.031,0.063,0.8,0.001,54.8,0.055,0.136,0.001,0,0.076,22.75,3
154425974,6,0.119,0,0.036,0.083,0,0,82.7,0.083,0.33,0,0,0.174,19.51,2
1038047819,4,0.055,0.019,0.041,0.015,6.7,0.031,9.7,0.01,0.102,0.012,0.018,0.019,26.02,3
3907601504,4,0.072,0.01,0.065,0.014,30.2,0.108,20.3,0.031,0.121,0.009,0.058,0.065,22.84,3
1665181074,4,0.063,0.011,0.047,0.019,0,0,3.6,0.006,0.003,0.004,0,0.014,25.39,3
509326461,3,0.048,0,0.022,0.027,0,0,21.9,0.038,0.036,0,0,0.019,27.8,3
828247274,3,0.022,0,0.022,0,0,0,0,0,0.007,0,0,0.007,24.59,3
335551686,3,0.053,0,0.053,0,0,0,0,0,0,0,0,0.005,26.29,3
10226430,4,0.062,0,0.046,0.015,0,0,0,0,0.009,0,0,0,27.29,3
20030682,1,0,0,0,0,0,0,0,0,0.033,0,0,0,34.62,4
21966988,6,0.124,0,0,0.124,0,0,123.6,0.124,0.228,0,0.076,0.072,20.72,3
160190480,6,0.141,0.022,0.059,0.06,0,0,0,0,0.02,0,0,0,25.77,3
162162799,6,0.124,0.024,0.1,0,9.8,0.06,0,0,0,0,0.036,0.026,27.39,3
36109481,3,0.048,0,0.048,0.008,0,0,0,0,0.051,0.014,0,0.151,23.66,3
19717595,6,0.135,0.02,0.119,0.016,0,0,22.2,0.024,0.119,0.023,0.046,0.014,24.86,3
262898311,4,0.073,0.012,0.061,0.046,20.1,0.055,0,0,0.154,0.019,0.013,0.117,24.5,3
1981434,6,0.437,0.069,0.226,0.259,0,0,0,0,0.122,0,0,0,27.57,3
918688002,6,0.166,0.013,0.138,0.107,8.2,0.071,24.1,0.044,0.152,0.043,0.031,0.144,24.37,3
78712916,3,0.036,0.01,0.015,0.021,7.4,0.017,11.5,0.014,0.195,0,0.047,0.161,22.33,3
16035604,4,0.075,0.026,0.05,0.022,6.5,0.023,18.6,0.024,0.012,0.006,0,0.028,22.86,3
16077530,6,0.136,0.037,0.113,0.119,1.7,0.008,0,0,0.023,0.019,0,0.085,24.93,3
14326081,6,0.15,0.016,0.136,0.014,0,0,0,0,0.084,0,0,0.021,28.72,3
30583172,1,0,0,0,0,0,0,0,0,0.08,0,0,0,25.14,3
109682247,1,0,0,0,0,0,0,0,0,0.048,0,0,0.088,20.35,3
28668734,4,0.083,0.036,0,0.083,0,0,0,0,0.039,0,0,0.022,21.56,3
3750511,2,0.008,0.001,0.008,0,0,0,0,0,0.053,0,0,0.098,21.3,3
1423015879,2,0.002,0,0.002,0,0,0,0,0,0.081,0,0,0,23.99,3
1058643019,2,0,0,0,0,0,0,0,0,0.003,0,0,0,22.52,3
195721692,1,0,0,0,0,0,0,0,0,0.094,0,0,0.076,23.48,3
125264966,1,0,0,0,0,0,0,0,0,0.051,0,0,0,26.02,3
